"iv_malla_modi_id";"ano";"ndvi_i";"lng";"lat"
216752;2011;0.68;-3.40686902501231;36.9693285180815
216752;2012;0.69;-3.40686902501231;36.9693285180815
216067;2000;0.47;-3.42260806473633;36.9714118481928
216067;2001;0.53;-3.42260806473633;36.9714118481928
216067;2002;0.55;-3.42260806473633;36.9714118481928
216067;2003;0.49;-3.42260806473633;36.9714118481928
216067;2004;0.51;-3.42260806473633;36.9714118481928
216067;2005;0.49;-3.42260806473633;36.9714118481928
216067;2006;0.55;-3.42260806473633;36.9714118481928
216067;2007;0.51;-3.42260806473633;36.9714118481928
216067;2008;0.39;-3.42260806473633;36.9714118481928
216067;2009;0.44;-3.42260806473633;36.9714118481928
216067;2010;0.48;-3.42260806473633;36.9714118481928
216067;2011;0.52;-3.42260806473633;36.9714118481928
216067;2012;0.49;-3.42260806473633;36.9714118481928
216068;2000;0.52;-3.42000043293874;36.9714118481928
216068;2001;0.59;-3.42000043293874;36.9714118481928
216068;2002;0.60;-3.42000043293874;36.9714118481928
216068;2003;0.54;-3.42000043293874;36.9714118481928
216068;2004;0.56;-3.42000043293874;36.9714118481928
216068;2005;0.55;-3.42000043293874;36.9714118481928
216068;2006;0.61;-3.42000043293874;36.9714118481928
216068;2007;0.60;-3.42000043293874;36.9714118481928
216068;2008;0.46;-3.42000043293874;36.9714118481928
216068;2009;0.51;-3.42000043293874;36.9714118481928
216068;2010;0.53;-3.42000043293874;36.9714118481928
216068;2011;0.56;-3.42000043293874;36.9714118481928
216068;2012;0.56;-3.42000043293874;36.9714118481928
216069;2000;0.64;-3.41739280114116;36.9714118481928
216069;2001;0.69;-3.41739280114116;36.9714118481928
216069;2002;0.70;-3.41739280114116;36.9714118481928
216069;2003;0.67;-3.41739280114116;36.9714118481928
216069;2004;0.68;-3.41739280114116;36.9714118481928
216069;2005;0.67;-3.41739280114116;36.9714118481928
216069;2006;0.72;-3.41739280114116;36.9714118481928
216069;2007;0.68;-3.41739280114116;36.9714118481928
216069;2008;0.61;-3.41739280114116;36.9714118481928
216069;2009;0.62;-3.41739280114116;36.9714118481928
216069;2010;0.64;-3.41739280114116;36.9714118481928
